draft position,MLS team,Player,Pos.,College,Conference,Academy team,Other team,Signed, Trade
53,Real Salt Lake, Pedro Fonseca,FW,Louisville,ACC,Fluminense,FC Golden State Force, Real Monarchs, No
54,Inter Miami CF, Tyler Bagley,MF,Cornell,Ivy League,Irvine Strikers,Boston Bolts, Inter Miami II, Yes
55,Portland Timbers, Julian Bravo,DF,Santa Clara,WCC,FC Golden State,—, Portland Timbers 2, No
56,New York City FC, Kingsford Adjei,FW,Dayton,A-10,Right To Dream Academy,Des Moines Menace, South Georgia Tormenta, No
57,Charlotte FC, George Marks,GK,Clemson,ACC,North Carolina FC,North Carolina FC U23, Charlotte FC, No
58,FC Cincinnati,PASS,—,—,—,—,—,—,-
59,Toronto FC, Reshaun Walkes,FW,UTRGV,WAC,Toronto FC,Des Moines Menace, Toronto FC II, No
60,LA Galaxy, Chandler Vaughn,DF,Saint Louis,A-10,D.C. United,Kaw Valley FC, LA Galaxy II, Yes
61,Austin FC, Michael Knapp,MF,Montclair,NJAC,New York Red Bulls,New York Red Bulls II, New York Red Bulls II, No
62,FC Dallas, Alec Smir,GK,North Carolina,ACC,NC Fusion,Ocean City Nor'easters, Minnesota United 2, No
63,Chicago Fire FC, Carlo Ritaccio,DF,Akron,MAC,BW Gottschee,Long Island Rough Riders, Chicago Fire FC II, No
64,San Jose Earthquakes, John Martin,MF,Clemson,ACC,CESA,Greenville FC,-, No
65,Inter Miami CF,PASS,—,—,—,—,—,—,-
66,FC Dallas, Chase Niece,DF,Saint Louis,A-10,St. Louis Scott Gallagher,St. Louis Scott Gallagher, North Texas SC, Yes
67,CF Montréal, Ivy Brisma,FW,NC State,ACC,Philadelphia Union,Wake FC,-, No
68,Columbus Crew, Chris Donovan,FW,Drexel,CAA,—,West Chester United, Philadelphia Union 2, No
69,D.C. United, Skage Simonsen,MF,SMU,American,Brann,Lokomotiv Oslo, Loudoun United, No
70,LA Galaxy,PASS,—,—,—,—,—,—,-
71,New York Red Bulls, Giannis Nikopolidis,GK,Georgetown,Big East,Olympiacos,—, New York Red Bulls II, No
72,Vancouver Whitecaps FC, Théo Collomb,FW,UNC-Greensboro,SoCon,Clermont,—, Whitecaps FC 2, No
73,New York Red Bulls, Seth Kuhn,MF,Penn State,Big Ten,Philadelphia Union,Reading United,-, Yes
74,Orlando City SC, Nick Taylor,FW,UCF,American,Dallas Texans,Albuquerque Sol, Orlando City B, No
75,Atlanta United FC, Daniel Bloyou,FW,Penn State,Big Ten,Philadelphia Union,Philadelphia Lone Star, FC Tucson, No
76,Seattle Sounders FC, Hal Uderitz,MF,Seattle,WAC,Crossfire Premier,Crossfire Redmond, Tacoma Defiance, No
77,Nashville SC,PASS,—,—,—,—,—,—,-
78,Sporting Kansas City,PASS,—,—,—,—,—,—,-
79,Colorado Rapids,PASS,—,—,—,—,—,—,-
80,New England Revolution,PASS,—,—,—,—,—,—,-
81,Real Salt Lake, Jasper Löffelsend,DF,Pittsburgh,ACC,TV Herkenrath 09,—, Real Salt Lake, No
82,Philadelphia Union,PASS,—,—,—,—,—,—,-
83,Portland Timbers, Sivert Haugli,DF,Virginia Tech,ACC,Bærum,Des Moines Menace, Portland Timbers 2, No
84,New York City FC, El Mahdi Youssoufi,FW,St. Francis College,NEC,FUS Rabat,Toledo Villa, New York City FC II, No
85,Chicago Fire FC, Yanis Leerman,DF,UCF,American,Troyes,—,-, Yes
86,Vancouver Whitecaps FC, Vitor Dias,MF,Marshall,C-USA,São Paulo,—, St. Louis City SC 2, Yes
87,FC Dallas, Holland Rula,DF,Wake Forest,ACC,FC Dallas,—,-, Yes
88,Atlanta United FC, Tola Showunmi,FW,UNH,America East,Cheshunt,New York Shockers,-, Yes
89,San Jose Earthquakes,PASS,—,—,—,—,—,—,-
